Time [s],xung,SysTick,Task_SOC.c,Task_Voltage.c,Task_CAN.c,Task_Temperature.c,Channel 6,Channel 7
0.000000000,0,0,0,0,0,0,1,1
0.001018792,1,0,0,0,0,0,1,1
0.001019333,0,0,0,0,0,0,1,1
0.002018833,1,0,0,0,0,0,1,1
0.002019333,0,0,0,0,0,0,1,1
0.003018833,1,0,0,0,0,0,1,1
0.003019333,0,0,0,0,0,0,1,1
0.003020000,0,1,0,0,0,0,1,1
0.003020500,0,0,0,0,0,0,1,1
0.003030958,0,0,1,0,0,0,1,1
0.003056917,0,0,0,0,0,0,1,1
0.004018833,1,0,0,0,0,0,1,1
0.004019333,0,0,0,0,0,0,1,1
0.005018833,1,0,0,0,0,0,1,1
0.005019375,0,0,0,0,0,0,1,1
0.006018833,1,0,0,0,0,0,1,1
0.006019375,0,0,0,0,0,0,1,1
0.007018875,1,0,0,0,0,0,1,1
0.007019375,0,0,0,0,0,0,1,1
0.008018875,1,0,0,0,0,0,1,1
0.008019375,0,0,0,0,0,0,1,1
0.008020042,0,1,0,0,0,0,1,1
0.008020542,0,0,0,0,0,0,1,1
0.008032167,0,0,1,0,0,0,1,1
0.008058167,0,0,0,0,0,0,1,1
0.008067417,0,0,0,1,0,0,1,1
0.009018875,1,0,0,1,0,0,1,1
0.009019375,0,0,0,1,0,0,1,1
0.010018875,1,0,0,1,0,0,1,1
0.010019417,0,0,0,1,0,0,1,1
0.010377792,0,0,0,0,0,0,1,1
0.011018875,1,0,0,0,0,0,1,1
0.011019417,0,0,0,0,0,0,1,1
0.012018917,1,0,0,0,0,0,1,1
0.012019417,0,0,0,0,0,0,1,1
0.013018917,1,0,0,0,0,0,1,1
0.013019417,0,0,0,0,0,0,1,1
0.013020083,0,1,0,0,0,0,1,1
0.013020583,0,0,0,0,0,0,1,1
0.013030542,0,0,1,0,0,0,1,1
0.013076958,0,0,0,0,0,0,1,1
0.014018917,1,0,0,0,0,0,1,1
0.014019417,0,0,0,0,0,0,1,1
0.015018917,1,0,0,0,0,0,1,1
0.015019458,0,0,0,0,0,0,1,1
0.016018917,1,0,0,0,0,0,1,1
0.016019458,0,0,0,0,0,0,1,1
0.017018958,1,0,0,0,0,0,1,1
0.017019458,0,0,0,0,0,0,1,1
0.018018958,1,0,0,0,0,0,1,1
0.018019458,0,0,0,0,0,0,1,1
0.018020125,0,1,0,0,0,0,1,1
0.018020625,0,0,0,0,0,0,1,1
0.018030458,0,0,1,0,0,0,1,1
0.018056417,0,0,0,0,0,0,1,1
0.019018958,1,0,0,0,0,0,1,1
0.019019458,0,0,0,0,0,0,1,1
0.020018958,1,0,0,0,0,0,1,1
0.020019500,0,0,0,0,0,0,1,1
0.021019000,1,0,0,0,0,0,1,1
0.021019500,0,0,0,0,0,0,1,1
0.022019000,1,0,0,0,0,0,1,1
0.022019500,0,0,0,0,0,0,1,1
0.023019000,1,0,0,0,0,0,1,1
0.023019500,0,0,0,0,0,0,1,1
0.023020167,0,1,0,0,0,0,1,1
0.023020708,0,0,0,0,0,0,1,1
0.023030208,0,0,1,0,0,0,1,1
0.023056208,0,0,0,0,0,0,1,1
0.024019000,1,0,0,0,0,0,1,1
0.024019500,0,0,0,0,0,0,1,1
0.025019000,1,0,0,0,0,0,1,1
0.025019542,0,0,0,0,0,0,1,1
0.026019042,1,0,0,0,0,0,1,1
0.026019542,0,0,0,0,0,0,1,1
0.027019042,1,0,0,0,0,0,1,1
0.027019542,0,0,0,0,0,0,1,1
0.028019042,1,0,0,0,0,0,1,1
0.028019542,0,0,0,0,0,0,1,1
0.028020208,0,1,0,0,0,0,1,1
0.028020750,0,0,0,0,0,0,1,1
0.028030625,0,0,1,0,0,0,1,1
0.028056625,0,0,0,0,0,0,1,1
0.029019042,1,0,0,0,0,0,1,1
0.029019542,0,0,0,0,0,0,1,1
0.030019042,1,0,0,0,0,0,1,1
0.030019583,0,0,0,0,0,0,1,1
0.031019083,1,0,0,0,0,0,1,1
0.031019583,0,0,0,0,0,0,1,1
0.032019083,1,0,0,0,0,0,1,1
0.032019583,0,0,0,0,0,0,1,1
0.033019083,1,0,0,0,0,0,1,1
0.033019583,0,0,0,0,0,0,1,1
0.033020250,0,1,0,0,0,0,1,1
0.033020792,0,0,0,0,0,0,1,1
0.033030417,0,0,1,0,0,0,1,1
0.033056417,0,0,0,0,0,0,1,1
0.034019083,1,0,0,0,0,0,1,1
0.034019583,0,0,0,0,0,0,1,1
0.035019083,1,0,0,0,0,0,1,1
0.035019625,0,0,0,0,0,0,1,1
0.036019125,1,0,0,0,0,0,1,1
0.036019625,0,0,0,0,0,0,1,1
0.037019125,1,0,0,0,0,0,1,1
0.037019625,0,0,0,0,0,0,1,1
0.038019125,1,0,0,0,0,0,1,1
0.038019625,0,0,0,0,0,0,1,1
0.038020292,0,1,0,0,0,0,1,1
0.038020833,0,0,0,0,0,0,1,1
0.038030792,0,0,1,0,0,0,1,1
0.038056792,0,0,0,0,0,0,1,1
0.039019125,1,0,0,0,0,0,1,1
0.039019667,0,0,0,0,0,0,1,1
0.040019125,1,0,0,0,0,0,1,1
0.040019667,0,0,0,0,0,0,1,1
0.041019167,1,0,0,0,0,0,1,1
0.041019667,0,0,0,0,0,0,1,1
0.042019167,1,0,0,0,0,0,1,1
0.042019667,0,0,0,0,0,0,1,1
0.043019167,1,0,0,0,0,0,1,1
0.043019667,0,0,0,0,0,0,1,1
0.043020333,0,1,0,0,0,0,1,1
0.043020875,0,0,0,0,0,0,1,1
0.043030625,0,0,1,0,0,0,1,1
0.043056625,0,0,0,0,0,0,1,1
0.044019167,1,0,0,0,0,0,1,1
0.044019708,0,0,0,0,0,0,1,1
0.045019167,1,0,0,0,0,0,1,1
0.045019708,0,0,0,0,0,0,1,1
0.046019208,1,0,0,0,0,0,1,1
0.046019708,0,0,0,0,0,0,1,1
0.047019208,1,0,0,0,0,0,1,1
0.047019708,0,0,0,0,0,0,1,1
0.048019208,1,0,0,0,0,0,1,1
0.048019708,0,0,0,0,0,0,1,1
0.048020375,0,1,0,0,0,0,1,1
0.048020917,0,0,0,0,0,0,1,1
0.048030417,0,0,1,0,0,0,1,1
0.048056417,0,0,0,0,0,0,1,1
0.049019208,1,0,0,0,0,0,1,1
0.049019750,0,0,0,0,0,0,1,1
0.050019208,1,0,0,0,0,0,1,1
0.050019750,0,0,0,0,0,0,1,1
0.051019250,1,0,0,0,0,0,1,1
0.051019750,0,0,0,0,0,0,1,1
0.052019250,1,0,0,0,0,0,1,1
0.052019750,0,0,0,0,0,0,1,1
0.053019250,1,0,0,0,0,0,1,1
0.053019750,0,0,0,0,0,0,1,1
0.053020417,0,1,0,0,0,0,1,1
0.053020958,0,0,0,0,0,0,1,1
0.053031292,0,0,1,0,0,0,1,1
0.053057292,0,0,0,0,0,0,1,1
0.054019250,1,0,0,0,0,0,1,1
0.054019792,0,0,0,0,0,0,1,1
0.055019292,1,0,0,0,0,0,1,1
0.055019792,0,0,0,0,0,0,1,1
0.056019292,1,0,0,0,0,0,1,1
0.056019792,0,0,0,0,0,0,1,1
0.057019292,1,0,0,0,0,0,1,1
