time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
0.000,0.00,0.000,0.044,12.8934,100.0000,100.0000,100.0000,100.1945,12.8934
1.000,0.00,0.000,0.219,12.8801,100.0000,100.0000,99.5308,101.0000,12.6869
2.000,0.00,0.000,0.239,12.9064,100.0000,100.0000,99.7138,101.0000,12.6949
3.000,0.00,0.000,0.165,12.8795,100.0000,100.0000,99.6412,101.0000,11.0549
4.000,0.00,0.000,-0.012,12.8935,100.0000,100.0000,99.6794,101.0000,11.1296
5.000,0.00,0.000,0.271,12.8947,100.0000,100.0000,99.8628,101.0000,11.1953
6.000,0.00,0.000,0.086,12.9061,100.0000,100.0000,99.8028,101.0000,11.2647
7.000,0.00,0.000,0.046,12.8928,100.0000,100.0000,99.5625,101.0000,11.3294
8.000,0.00,0.000,0.251,12.9069,100.0000,100.0000,99.5858,101.0000,11.3883
9.000,0.00,0.000,0.019,12.8723,100.0000,100.0000,99.7124,101.0000,11.4507
10.000,0.00,0.000,0.025,12.8899,100.0000,100.0000,99.6612,101.0000,11.5075
11.000,0.00,0.000,0.241,12.9026,100.0000,100.0000,99.4855,101.0000,11.5593
12.000,3.75,13.001,13.270,12.6976,99.9909,99.9907,99.4914,100.9908,11.4323
13.000,7.50,26.063,26.047,12.5114,99.9638,99.9634,99.4641,100.9634,11.2997
14.000,11.25,39.249,39.416,12.3220,99.9184,99.9179,99.4185,100.9178,11.1504
15.000,15.00,7.089,7.233,12.7165,99.8553,99.8545,99.3552,100.8546,11.6077
16.000,15.00,7.089,7.313,12.7445,99.8458,99.8447,99.3453,100.8451,11.6496
17.000,15.00,7.089,7.326,12.7459,99.8362,99.8349,99.3356,100.8355,11.6907
18.000,15.00,7.089,7.258,12.7373,99.8267,99.8251,99.3258,100.8260,11.7313
19.000,15.00,7.089,7.291,12.7372,99.8172,99.8153,99.3160,100.8164,11.7690
20.000,15.00,7.089,7.239,12.7110,99.8076,99.8055,99.3062,100.8069,11.8063
21.000,15.00,7.089,7.188,12.7163,99.7981,99.7957,99.2964,100.7974,11.8421
22.000,15.00,7.089,7.229,12.7272,99.7886,99.7859,99.2865,100.7878,11.8753
23.000,15.00,-14.961,-14.851,13.0438,99.7792,99.7763,99.2769,100.7784,12.2059
24.000,12.00,-12.065,-11.835,12.9937,99.7979,99.7949,99.2955,100.7969,12.2076
25.000,9.00,-9.105,-8.865,12.9811,99.8126,99.8094,99.3101,100.8115,12.2067
26.000,6.00,-6.097,-6.059,12.9385,99.8232,99.8198,99.3204,100.8219,12.2048
27.000,3.00,-3.057,-3.041,12.8804,99.8295,99.8260,99.3267,101.0000,11.8707
28.000,0.00,0.000,0.199,12.8479,99.8316,99.8279,98.1137,101.0000,11.8699
29.000,0.00,0.000,-0.017,12.8576,99.8316,99.8279,97.3243,101.0000,11.9131
30.000,0.00,0.000,0.272,12.8380,99.8316,99.8279,97.1248,101.0000,11.9480
31.000,0.00,0.000,0.213,12.8612,99.8316,99.8279,97.5053,101.0000,11.9861
32.000,0.00,0.000,0.238,12.8460,99.8316,99.8279,97.5065,101.0000,12.0216
33.000,0.00,0.000,-0.003,12.8633,99.8316,99.8279,97.3995,101.0000,12.0592
34.000,0.00,0.000,0.199,12.8410,99.8316,99.8279,97.6198,101.0000,12.0895
35.000,0.00,0.000,0.248,12.8686,99.8316,99.8279,97.6488,101.0000,12.1206
