time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
0.000,0.00,0.000,0.044,12.8934,100.0000,75.0000,77.5000,90.5330,12.8933
1.000,0.00,0.000,0.219,12.8801,100.0000,75.0000,96.7953,101.0000,12.7806
2.000,0.00,0.000,0.239,12.9064,100.0000,75.0000,99.3812,101.0000,12.0124
3.000,0.00,0.000,0.165,12.8795,100.0000,75.0000,99.6007,101.0000,12.0482
4.000,0.00,0.000,-0.012,12.8935,100.0000,75.0000,99.6745,101.0000,12.0840
5.000,0.00,0.000,0.271,12.8947,100.0000,75.0000,99.8622,101.0000,12.1122
6.000,0.00,0.000,0.086,12.9061,100.0000,75.0000,99.8027,101.0000,12.1456
7.000,0.00,0.000,0.046,12.8928,100.0000,75.0000,99.5625,101.0000,12.1757
8.000,0.00,0.000,0.251,12.9069,100.0000,75.0000,99.5858,101.0000,12.2014
9.000,0.00,0.000,0.019,12.8723,100.0000,75.0000,99.7124,101.0000,12.2318
10.000,0.00,0.000,0.025,12.8899,100.0000,75.0000,99.6612,101.0000,12.2580
11.000,0.00,0.000,0.241,12.9026,100.0000,75.0000,99.4855,101.0000,12.2803
12.000,3.75,13.001,13.270,12.6976,99.9909,74.9907,99.4914,100.9908,12.1251
13.000,7.50,26.063,26.047,12.5114,99.9638,74.9634,99.4641,100.9634,11.9652
14.000,11.25,39.249,39.416,12.3220,99.9184,74.9179,99.4185,100.9178,11.7898
15.000,15.00,7.089,7.233,12.7165,99.8553,74.8545,99.3552,100.8546,12.2220
16.000,15.00,7.089,7.313,12.7445,99.8458,74.8447,99.3453,100.9976,11.7300
17.000,15.00,7.089,7.326,12.7459,99.8362,74.8349,99.3356,100.9881,11.7680
18.000,15.00,7.089,7.258,12.7373,99.8267,74.8251,99.3258,100.9785,11.8056
19.000,15.00,7.089,7.291,12.7372,99.8172,74.8153,99.3160,100.9690,11.8405
20.000,15.00,7.089,7.239,12.7110,99.8076,74.8055,99.3062,100.9595,11.8750
21.000,15.00,7.089,7.188,12.7163,99.7981,74.7957,99.2964,100.9499,11.9083
22.000,15.00,7.089,7.229,12.7272,99.7886,74.7859,99.2865,100.9404,11.9390
23.000,15.00,-14.961,-14.851,13.0438,99.7792,74.7763,99.2769,100.9310,12.2671
24.000,12.00,-12.065,-11.835,12.9937,99.7979,74.7949,99.2955,100.9495,12.2665
25.000,9.00,-9.105,-8.865,12.9811,99.8126,74.8094,99.3101,100.9641,12.2634
26.000,6.00,-6.097,-6.059,12.9385,99.8232,74.8198,99.3204,100.9745,12.2593
27.000,3.00,-3.057,-3.041,12.8804,99.8295,74.8260,99.3267,100.9806,12.2495
28.000,0.00,0.000,0.199,12.8479,99.8316,74.8279,98.1137,100.9824,12.2337
29.000,0.00,0.000,-0.017,12.8576,99.8316,74.8279,97.3243,100.9824,12.2627
30.000,0.00,0.000,0.272,12.8380,99.8316,74.8279,97.1248,100.9824,12.2839
31.000,0.00,0.000,0.213,12.8612,99.8316,74.8279,97.5053,100.9824,12.3088
32.000,0.00,0.000,0.238,12.8460,99.8316,74.8279,97.5065,100.9824,12.3315
33.000,0.00,0.000,-0.003,12.8633,99.8316,74.8279,97.3995,100.9824,12.3570
34.000,0.00,0.000,0.199,12.8410,99.8316,74.8279,97.6198,100.9824,12.3756
35.000,0.00,0.000,0.248,12.8686,99.8316,74.8279,97.6488,100.9824,12.3955
36.000,0.00,0.000,0.081,12.8631,99.8316,74.8279,98.0466,100.9824,12.4174
37.000,0.00,0.000,0.203,12.8729,99.8316,74.8279,97.7601,100.9824,12.4347
38.000,0.00,0.000,0.229,12.8638,99.8316,74.8279,97.9100,100.9824,12.4525
39.000,0.00,0.000,0.118,12.8633,99.8316,74.8279,97.9708,100.9824,12.4715
40.000,0.00,0.000,0.212,12.8659,99.8316,74.8279,98.1319,100.9824,12.4870
