time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
0.000,0.00,0.000,0.794,12.8934,100.0000,100.0000,100.0000,100.6876,12.8934
1.000,0.00,0.000,0.969,12.8801,100.0000,99.9988,99.5304,100.9990,12.6280
2.000,0.00,0.000,0.989,12.9064,100.0000,99.9976,99.7133,100.9976,12.6375
3.000,0.00,0.000,0.915,12.8795,100.0000,99.9964,99.6406,100.9997,10.8968
4.000,0.00,0.000,0.738,12.8935,100.0000,99.9952,99.6789,100.9983,10.9769
5.000,0.00,0.000,1.021,12.8947,100.0000,99.9940,99.8622,100.9969,11.0478
6.000,0.00,0.000,0.836,12.9061,100.0000,99.9928,99.8022,100.9956,11.1221
7.000,0.00,0.000,0.796,12.8928,100.0000,99.9916,99.5620,100.9943,11.1916
8.000,0.00,0.000,1.001,12.9069,100.0000,99.9905,99.5853,100.9931,11.2551
9.000,0.00,0.000,0.769,12.8723,100.0000,99.9893,99.7118,100.9918,11.3219
10.000,0.00,0.000,0.775,12.8899,100.0000,99.9881,99.6607,100.9904,11.3830
11.000,0.00,0.000,0.991,12.9026,100.0000,99.9869,99.4850,100.9889,11.4388
12.000,3.75,13.001,14.020,12.6976,99.9909,99.9766,99.5262,100.9787,11.3158
13.000,7.50,26.063,26.797,12.5114,99.9638,99.9482,99.4978,100.9503,11.1869
14.000,11.25,39.249,40.166,12.3220,99.9184,99.9016,99.4512,100.9037,11.0412
15.000,15.00,7.089,7.983,12.7165,99.8553,99.8373,99.3869,100.8392,11.5020
16.000,15.00,7.089,8.063,12.7445,99.8458,99.8266,99.3762,100.8273,11.5472
17.000,15.00,7.089,8.076,12.7459,99.8362,99.8158,99.3654,100.8153,11.5915
18.000,15.00,7.089,8.008,12.7373,99.8267,99.8051,99.3547,100.8034,11.6352
19.000,15.00,7.089,8.041,12.7372,99.8172,99.7944,99.3440,100.7915,11.6758
20.000,15.00,7.089,7.989,12.7110,99.8076,99.7836,99.3333,100.7796,11.7159
21.000,15.00,7.089,7.938,12.7163,99.7981,99.7729,99.3225,100.7677,11.7544
22.000,15.00,7.089,7.979,12.7272,99.7886,99.7622,99.3118,100.7557,11.7903
23.000,15.00,-14.961,-14.101,13.0438,99.7792,99.7516,99.3012,100.7440,12.1234
24.000,12.00,-12.065,-11.085,12.9937,99.7979,99.7691,99.3187,100.7617,12.1275
25.000,9.00,-9.105,-8.115,12.9811,99.8126,99.7826,99.3322,100.7750,12.1289
26.000,6.00,-6.097,-5.309,12.9385,99.8232,99.7920,99.3416,100.7843,12.1292
