time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
0.000,0.00,0.000,0.044,12.8934,100.0000,75.0000,77.5000,90.5330,12.8933
1.000,0.00,0.000,0.219,12.8801,100.0000,75.0000,96.7953,101.0000,12.7806
2.000,0.00,0.000,0.239,12.9064,100.0000,75.0000,99.3812,101.0000,12.0124
3.000,0.00,0.000,0.165,12.8795,100.0000,75.0000,99.6007,101.0000,12.0482
4.000,0.00,0.000,-0.012,12.8935,100.0000,75.0000,99.6745,101.0000,12.0840
5.000,0.00,0.000,0.271,12.8947,100.0000,75.0000,99.8622,101.0000,12.1122
6.000,0.00,0.000,0.086,12.9061,100.0000,75.0000,99.8027,101.0000,12.1456
7.000,0.00,0.000,0.046,12.8928,100.0000,75.0000,99.5625,101.0000,12.1757
8.000,0.00,0.000,0.251,12.9069,100.0000,75.0000,99.5858,101.0000,12.2014
9.000,0.00,0.000,0.019,12.8723,100.0000,75.0000,99.7124,101.0000,12.2318
10.000,0.00,0.000,0.025,12.8899,100.0000,75.0000,99.6612,101.0000,12.2580
11.000,0.00,0.000,0.241,12.9026,100.0000,75.0000,99.4855,101.0000,12.2803
12.000,3.75,13.001,13.270,12.6976,99.9899,74.9907,99.4914,100.9908,12.1251
13.000,7.50,26.063,26.047,12.5113,99.9597,74.9634,99.4640,100.9634,11.9652
14.000,11.25,39.249,39.416,12.3218,99.9093,74.9179,99.4185,100.9178,11.7898
15.000,15.00,7.089,7.233,12.7163,99.8391,74.8545,99.3552,100.8546,12.2220
16.000,15.00,7.089,7.313,12.7442,99.8284,74.8447,99.3453,100.9976,11.7302
17.000,15.00,7.089,7.326,12.7456,99.8176,74.8349,99.3356,100.9881,11.7682
18.000,15.00,7.089,7.258,12.7370,99.8069,74.8251,99.3258,100.9785,11.8059
19.000,15.00,7.089,7.291,12.7369,99.7962,74.8153,99.3160,100.9690,11.8407
20.000,15.00,7.089,7.239,12.7108,99.7854,74.8055,99.3062,100.9595,11.8752
21.000,15.00,7.089,7.188,12.7160,99.7747,74.7957,99.2964,100.9499,11.9085
22.000,15.00,7.089,7.229,12.7269,99.7640,74.7859,99.2865,100.9404,11.9392
23.000,15.00,-14.961,-14.851,13.0434,99.7534,74.7763,99.2769,100.9310,12.2673
24.000,12.00,-12.065,-11.835,12.9934,99.7743,74.7949,99.2955,100.9495,12.2667
25.000,9.00,-9.105,-8.865,12.9808,99.7906,74.8094,99.3101,100.9641,12.2635
26.000,6.00,-6.097,-6.059,12.9383,99.8023,74.8198,99.3204,100.9745,12.2595
27.000,3.00,-3.057,-3.041,12.8801,99.8094,74.8260,99.3266,100.9806,12.2496
28.000,0.00,0.000,0.199,12.8477,99.8117,74.8279,98.1000,100.9824,12.2339
29.000,0.00,0.000,-0.017,12.8573,99.8117,74.8279,97.3051,100.9824,12.2629
30.000,0.00,0.000,0.272,12.8377,99.8117,74.8279,97.1050,100.9824,12.2840
31.000,0.00,0.000,0.213,12.8609,99.8117,74.8279,97.4854,100.9824,12.3089
32.000,0.00,0.000,0.238,12.8458,99.8117,74.8279,97.4866,100.9824,12.3317
33.000,0.00,0.000,-0.003,12.8631,99.8117,74.8279,97.3796,100.9824,12.3571
34.000,0.00,0.000,0.199,12.8407,99.8117,74.8279,97.5999,100.9824,12.3757
35.000,0.00,0.000,0.248,12.8684,99.8117,74.8279,97.6289,100.9824,12.3956
36.000,0.00,0.000,0.081,12.8628,99.8117,74.8279,98.0267,100.9824,12.4175
37.000,0.00,0.000,0.203,12.8727,99.8117,74.8279,97.7402,100.9824,12.4348
38.000,0.00,0.000,0.229,12.8636,99.8117,74.8279,97.8901,100.9824,12.4526
39.000,0.00,0.000,0.118,12.8631,99.8117,74.8279,97.9509,100.9824,12.4716
40.000,0.00,0.000,0.212,12.8657,99.8117,74.8279,98.1120,100.9824,12.4871
