time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
0.000,0.00,0.000,-0.001,12.8902,100.0000,100.0000,100.0000,100.0079,12.8902
1.000,0.00,0.000,0.001,12.8895,100.0000,100.0000,99.9766,100.3682,12.8899
2.000,0.00,0.000,0.001,12.8908,100.0000,100.0000,99.9857,100.5505,12.8903
3.000,0.00,0.000,0.000,12.8895,100.0000,100.0000,99.9821,100.1375,12.8900
4.000,0.00,0.000,-0.001,12.8902,100.0000,100.0000,99.9840,100.1287,12.8900
5.000,0.00,0.000,0.001,12.8902,100.0000,100.0000,99.9931,100.2293,12.8903
6.000,0.00,0.000,-0.000,12.8908,100.0000,100.0000,99.9902,100.2109,12.8904
7.000,0.00,0.000,-0.001,12.8901,100.0000,100.0000,99.9781,100.0175,12.8898
8.000,0.00,0.000,0.001,12.8908,100.0000,100.0000,99.9793,100.0832,12.8901
9.000,0.00,0.000,-0.001,12.8891,100.0000,100.0000,99.9856,100.1032,12.8902
10.000,0.00,0.000,-0.001,12.8900,100.0000,100.0000,99.9831,100.0463,12.8900
11.000,0.00,0.000,0.001,12.8906,100.0000,100.0000,99.9743,100.0320,12.8899
12.000,3.75,13.001,13.002,12.7104,99.9909,99.9909,99.7760,100.0676,12.7111
13.000,7.50,26.063,26.062,12.5238,99.9638,99.9638,99.7488,100.0076,12.5240
14.000,11.25,39.249,39.249,12.3289,99.9184,99.9184,99.7034,99.9839,12.3288
15.000,15.00,7.089,7.089,12.7381,99.8553,99.8553,99.6403,99.8986,12.7391
16.000,15.00,7.089,7.089,12.7378,99.8458,99.8458,99.6308,99.8610,12.7371
17.000,15.00,7.089,7.090,12.7362,99.8362,99.8362,99.6212,99.8706,12.7355
18.000,15.00,7.089,7.089,12.7342,99.8267,99.8267,99.6117,99.8378,12.7337
19.000,15.00,7.089,7.089,12.7327,99.8172,99.8172,99.6022,99.8560,12.7324
20.000,15.00,7.089,7.089,12.7299,99.8076,99.8076,99.5926,99.7910,12.7303
21.000,15.00,7.089,7.089,12.7288,99.7981,99.7981,99.5831,99.8051,12.7291
22.000,15.00,7.089,7.089,12.7280,99.7886,99.7886,99.5736,99.8208,12.7280
23.000,15.00,-14.961,-14.961,13.0250,99.7792,99.7792,99.5642,99.8099,13.0243
24.000,12.00,-12.065,-12.065,12.9949,99.7979,99.7979,99.5829,99.7941,12.9948
25.000,9.00,-9.105,-9.105,12.9639,99.8126,99.8126,99.5976,99.8507,12.9633
26.000,6.00,-6.097,-6.098,12.9289,99.8232,99.8231,99.6082,99.8503,12.9286
27.000,3.00,-3.057,-3.057,12.8910,99.8295,99.8295,99.6145,99.8173,12.8912
28.000,0.00,0.000,0.000,12.8524,99.8316,99.8316,98.3070,99.8454,12.8525
29.000,0.00,0.000,-0.001,12.8542,99.8316,99.8316,97.2600,99.8540,12.8541
30.000,0.00,0.000,0.001,12.8545,99.8316,99.8316,97.2167,99.8425,12.8552
31.000,0.00,0.000,0.001,12.8568,99.8316,99.8316,97.3173,99.8584,12.8567
32.000,0.00,0.000,0.001,12.8573,99.8316,99.8316,97.4096,99.8552,12.8579
33.000,0.00,0.000,-0.001,12.8592,99.8316,99.8316,97.4945,99.8457,12.8590
34.000,0.00,0.000,0.000,12.8592,99.8316,99.8316,97.5925,99.8489,12.8602
35.000,0.00,0.000,0.001,12.8616,99.8316,99.8316,97.6775,99.8505,12.8613
36.000,0.00,0.000,-0.000,12.8623,99.8316,99.8316,97.7777,99.8608,12.8625
37.000,0.00,0.000,0.001,12.8638,99.8316,99.8316,97.8405,99.8443,12.8633
38.000,0.00,0.000,0.001,12.8642,99.8316,99.8316,97.9220,99.8444,12.8642
39.000,0.00,0.000,-0.000,12.8651,99.8316,99.8316,97.9963,99.8442,12.8652
40.000,0.00,0.000,0.001,12.8661,99.8316,99.8316,98.0727,99.8432,12.8660
41.000,0.00,0.000,-0.000,12.8665,99.8316,99.8316,98.1410,99.8442,12.8669
42.000,0.00,0.000,-0.001,12.8685,99.8316,99.8316,98.2177,99.8552,12.8680
43.000,0.00,0.000,0.001,12.8685,99.8316,99.8316,98.2712,99.8466,12.8686
44.000,0.00,0.000,-0.000,12.8699,99.8316,99.8316,98.3194,99.8373,12.8692
45.000,0.00,0.000,0.000,12.8691,99.8316,99.8316,98.3785,99.8357,12.8699
