time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
0.000,0.00,0.000,0.044,12.8934,100.0000,100.0000,100.0000,100.1945,12.8934
1.000,0.00,0.000,0.219,12.8801,100.0000,100.0000,99.5308,101.0000,12.6869
2.000,0.00,0.000,0.239,12.9064,100.0000,100.0000,99.7138,101.0000,12.6949
3.000,0.00,0.000,0.165,12.8795,100.0000,100.0000,99.6412,101.0000,11.0549
4.000,0.00,0.000,-0.012,12.8935,100.0000,100.0000,99.6794,101.0000,11.1296
5.000,0.00,0.000,0.271,12.8947,100.0000,100.0000,99.8628,101.0000,11.1953
6.000,0.00,0.000,0.086,12.9061,100.0000,100.0000,99.8028,101.0000,11.2647
7.000,0.00,0.000,0.046,12.8928,100.0000,100.0000,99.5625,101.0000,11.3294
8.000,0.00,0.000,0.251,12.9069,100.0000,100.0000,99.5858,101.0000,11.3883
9.000,0.00,0.000,0.019,12.8723,100.0000,100.0000,99.7124,101.0000,11.4507
10.000,0.00,0.000,0.025,12.8899,100.0000,100.0000,99.6612,101.0000,11.5075
11.000,0.00,0.000,0.241,12.9026,100.0000,100.0000,99.4855,101.0000,11.5593
12.000,0.00,0.000,0.269,12.8803,100.0000,100.0000,99.6740,101.0000,11.6114
13.000,0.00,0.000,-0.016,12.8847,100.0000,100.0000,99.6037,101.0000,11.6657
14.000,0.00,0.000,0.167,12.8945,100.0000,100.0000,99.7028,101.0000,11.7118
15.000,0.00,0.000,0.144,12.8705,100.0000,100.0000,99.5556,101.0000,11.7587
16.000,0.00,6.250,6.474,12.8142,100.0000,100.0000,99.4480,101.0000,11.7180
17.000,0.00,6.250,6.487,12.8138,99.9916,99.9913,99.4394,100.9904,11.7574
18.000,0.00,6.250,6.419,12.8036,99.9833,99.9826,99.4307,100.9809,11.7963
19.000,0.00,6.250,6.452,12.8019,99.9749,99.9740,99.4220,100.9713,11.8324
20.000,0.00,6.250,6.400,12.7742,99.9666,99.9652,99.4133,100.9618,11.8682
21.000,0.00,6.250,6.349,12.7779,99.9582,99.9566,99.4046,100.9523,11.9025
22.000,0.00,6.250,6.390,12.7874,99.9499,99.9478,99.3959,100.9427,11.9344
23.000,0.00,6.250,6.361,12.7990,99.9415,99.9392,99.3872,100.9332,11.9659
24.000,0.00,6.250,6.481,12.7760,99.9332,99.9305,99.3785,100.9237,11.9941
25.000,0.00,6.250,6.491,12.7935,99.9249,99.9218,99.3698,100.9141,12.0227
26.000,0.00,6.250,6.288,12.7837,99.9165,99.9131,99.3612,100.9046,12.0530
27.000,0.00,6.250,6.266,12.7609,99.9082,99.9044,99.3524,100.9981,11.7537
28.000,0.00,6.250,6.449,12.7659,99.8998,99.8957,99.3438,100.9886,11.7895
29.000,0.00,6.250,6.233,12.7719,99.8915,99.8870,99.3350,100.9790,11.8292
30.000,0.00,6.250,6.522,12.7489,99.8831,99.8784,99.3264,100.9695,11.8606
31.000,0.00,6.250,6.463,12.7687,99.8748,99.8698,99.3178,100.9599,11.8953
32.000,0.00,6.250,6.488,12.7503,99.8664,99.8610,99.3091,100.9504,11.9276
33.000,0.00,6.250,6.247,12.7646,99.8581,99.8524,99.3004,100.9409,11.9622
34.000,0.00,6.250,6.449,12.7392,99.8498,99.8437,99.2918,100.9313,11.9895
35.000,0.00,6.250,6.498,12.7640,99.8414,99.8350,99.2830,100.9218,12.0177
