time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
0.000,0.00,0.000,0.794,12.8934,100.0000,100.0000,100.0000,100.6876,12.8934
1.000,0.00,0.000,0.969,12.8801,100.0000,99.9988,99.5304,100.9990,12.6280
2.000,0.00,0.000,0.989,12.9064,100.0000,99.9976,99.7133,100.9976,12.6375
3.000,0.00,0.000,0.915,12.8795,100.0000,99.9964,99.6406,100.9997,10.8968
4.000,0.00,0.000,0.738,12.8935,100.0000,99.9952,99.6789,100.9983,10.9769
5.000,0.00,0.000,1.021,12.8947,100.0000,99.9940,99.8622,100.9969,11.0478
6.000,0.00,0.000,0.836,12.9061,100.0000,99.9928,99.8022,100.9956,11.1221
7.000,0.00,0.000,0.796,12.8928,100.0000,99.9916,99.5620,100.9943,11.1916
8.000,0.00,0.000,1.001,12.9069,100.0000,99.9905,99.5853,100.9931,11.2551
9.000,0.00,0.000,0.769,12.8723,100.0000,99.9893,99.7118,100.9918,11.3219
10.000,0.00,0.000,0.775,12.8899,100.0000,99.9881,99.6607,100.9904,11.3830
11.000,0.00,0.000,0.991,12.9026,100.0000,99.9869,99.4850,100.9889,11.4388
12.000,0.00,0.000,1.019,12.8803,100.0000,99.9857,99.6735,100.9878,11.4949
13.000,0.00,0.000,0.734,12.8847,100.0000,99.9845,99.6031,100.9864,11.5530
14.000,0.00,0.000,0.917,12.8945,100.0000,99.9833,99.7023,100.9851,11.6026
15.000,0.00,0.000,0.894,12.8705,100.0000,99.9821,99.5551,100.9837,11.6530
16.000,0.00,6.250,7.224,12.8142,100.0000,99.9809,99.4474,100.9823,11.6156
17.000,0.00,6.250,7.237,12.8138,99.9916,99.9713,99.4378,100.9728,11.6582
18.000,0.00,6.250,7.169,12.8036,99.9833,99.9618,99.4283,100.9632,11.7002
19.000,0.00,6.250,7.202,12.8019,99.9749,99.9523,99.4188,100.9537,11.7393
20.000,0.00,6.250,7.150,12.7742,99.9666,99.9427,99.4092,100.9442,11.7779
21.000,0.00,6.250,7.099,12.7779,99.9582,99.9332,99.3997,100.9346,11.8150
22.000,0.00,6.250,7.140,12.7874,99.9499,99.9237,99.3902,100.9251,11.8495
23.000,0.00,6.250,7.111,12.7990,99.9415,99.9141,99.3806,100.9156,11.8835
24.000,0.00,6.250,7.231,12.7760,99.9332,99.9046,99.3711,100.9060,11.9142
25.000,0.00,6.250,7.241,12.7935,99.9249,99.8950,99.3616,100.8965,11.9451
26.000,0.00,6.250,7.038,12.7837,99.9165,99.8855,99.3520,100.8869,11.9776
